,0,1,2,3,class
0,1.990492021276596,496.0409859125665,0.019135638297872334,41.2578474318484,dust
1,1.3812499999999999,340.7716406250001,-0.011562500000000002,30.3638369140625,dust
2,0.47812499999999997,121.11994838169642,0.005892857142857144,29.19422142857143,dust
3,0.0,0.0,0.01296875,45.62668779296875,dust
4,,,,,dust
5,,,,,dust
6,,,,,dust
7,,,,,dust
8,0.9,224.00096484375,-0.002014705882352942,111.83733130514709,dust
9,,,,,dust
10,,,,,dust
11,,,,,dust
12,,,,,dust
13,,,,,dust
14,,,,,dust
15,0.0,0.0,-0.0134375,389.8753818359375,dust
16,,,,,dust
17,,,,,dust
18,,,,,dust
19,,,,,dust
20,,,,,dust
21,,,,,dust
22,,,,,dust
23,,,,,dust
24,0.0,0.0,-0.025,61.190625,dust
25,,,,,dust
26,,,,,dust
27,0.0,0.0,-0.031875,59.637108984375,dust
28,0.19125,48.58586718749999,0.019124999999999996,491.300113671875,dust
29,,,,,dust
30,,,,,dust
31,,,,,dust
32,,,,,dust
33,,,,,dust
34,,,,,dust
35,,,,,dust
36,,,,,dust
37,,,,,dust
38,,,,,dust
39,,,,,dust
40,,,,,dust
41,,,,,dust
42,,,,,dust
43,,,,,dust
44,,,,,dust
45,,,,,dust
46,0.0,0.0,0.006875000000000001,35.27327679687501,dust
47,,,,,dust
48,,,,,dust
49,0.4056818181818182,102.94085582386361,-0.0012499999999999998,495.2837568892044,dust
50,0.23020833333333338,58.553544921874995,-0.0018055555555555563,504.82161388888886,dust
51,0.159375,40.55807373046875,0.02796875,547.7270263671876,dust
52,,,,,dust
53,,,,,dust
54,,,,,dust
55,,,,,dust
56,,,,,dust
57,,,,,dust
58,0.0,0.0,0.0115,25.13203328125,dust
59,,,,,dust
60,1.115625,283.239755859375,0.04624999999999999,113.20161093749998,dust
61,,,,,dust
62,,,,,dust
63,,,,,dust
64,,,,,dust
65,,,,,dust
66,,,,,dust
67,,,,,dust
68,,,,,dust
69,0.0,0.0,0.0475,56.235243749999995,dust
70,,,,,dust
71,,,,,dust
72,0.0,0.0,0.0825,48.00444375,dust
73,,,,,dust
74,,,,,dust
75,,,,,dust
76,,,,,dust
77,,,,,dust
78,,,,,dust
79,,,,,dust
80,,,,,dust
81,,,,,dust
82,,,,,dust
83,,,,,dust
84,,,,,dust
85,,,,,dust
86,,,,,dust
87,,,,,dust
88,,,,,dust
89,,,,,dust
90,,,,,dust
91,,,,,dust
92,,,,,dust
93,0.0,0.0,0.02,13.025849999999997,dust
94,,,,,dust
95,,,,,dust
96,,,,,dust
97,,,,,dust
98,,,,,dust
99,,,,,dust
100,,,,,dust
101,,,,,dust
102,,,,,dust
103,0.0,0.0,-0.004375,5.063674609375,dust
104,0.0,0.0,-0.003125,5.920615234375,dust
105,0.0,0.0,-0.054375,32.762668359375,dust
106,0.22920715547703177,56.61800922730786,0.0005521201413427562,6.782436950640458,dust
107,1.7594161184210524,425.3833497378701,0.004060855263157893,38.15426954461348,dust
108,13.408750000000005,2972.8997854687486,-0.0042433333333333325,250.7930532166667,dust
109,,,,,dust
110,,,,,dust
111,0.0,0.0,0.00775,26.456533125,dust
112,,,,,dust
113,,,,,dust
114,,,,,dust
115,,,,,dust
116,,,,,dust
117,0.0,0.0,-0.0006249999999999994,8.332971484375,dust
118,,,,,dust
119,,,,,dust
120,,,,,dust
121,0.12395833333333334,31.471083984375007,0.02805555555555555,392.1344813368055,dust
122,,,,,dust
123,0.8925000000000001,226.16507812499995,-0.0095,68.97016484374998,dust
124,,,,,dust
125,0.14259868421052632,35.97631116365132,-0.002532894736842105,18.078584724506577,dust
126,,,,,dust
127,,,,,dust
128,0.0,0.0,-0.004375,7.8231058593750005,dust
129,0.0,0.0,0.008125,23.749182421875,dust
130,,,,,dust
131,0.31875,80.87484375,0.0032812499999999994,19.353210253906255,dust
132,,,,,dust
133,,,,,dust
134,,,,,dust
135,,,,,dust
136,,,,,dust
137,0.286875,72.74163867187501,0.02375,20.538760000000003,dust
138,,,,,dust
